"id";"title";"year";"synopsis";"director";"producer";"writer";"release_date_id";"box_office";"runtime";"production_co";"sound_mix";"aspect_ratio";"collection";"crew";"rating_id";"genre_id";"language_id"
"567";"Psycho";"1960";"Phoenix secretary Marion Crane (Janet Leigh), on the lam after stealing $40,000 from her employer in order to run away with her boyfriend, Sam Loomis (John Gavin), is overcome by exhaustion during a heavy rainstorm. Traveling on the back roads to avoid the police, she stops for the night at the ramshackle Bates Motel and meets the polite but highly strung proprietor Norman Bates (Anthony Perkins), a young man with an interest in taxidermy and a difficult relationship with his mother.";"Robert Wiene";"Rudolf Meinert, Erich Pommer";"Hans Janowitz, Carl Mayer";"79";"412.80";"141";"";"";"";"";"Lixin Fan, Mila Aung-Thwin, Daniel Cross, Olivier Alary, Lixin Fan, Yung Chang, Lixin Fan, Mary Stephen";"6";"22";"5"
"568";"Ralph Breaks the Internet";"2018";"Video game bad guy Ralph and fellow misfit Vanellope von Schweetz must risk it all by traveling to the World Wide Web in search of a replacement part to save Vanellope's video game, ""Sugar Rush."" In way over their heads, Ralph and Vanellope rely on the citizens of the internet -- the netizens -- to help navigate their way, including an entrepreneur named Yesss, who is the head algorithm and the heart and soul of trend-making site BuzzzTube.";"Merian C. Cooper, Ernest B. Schoedsack";"Merian C. Cooper, Ernest B. Schoedsack";"James Ashmore Creelman, Ruth Rose";"92";"188.00";"107";"Novaya Zemlya, Final Cut for Real, Piraya Film A/S, Spring Films";"";"";"";"Anwar Congo, Jusuf Kalla, Werner Herzog, Errol Morris, Anne KГ¶hncke";"6";"18";"18"
"569";"Ran";"1985";"At the age of seventy, after years of consolidating his empire, the Great Lord Hidetora Ichimonji (Tatsuya Nakadai) decides to abdicate and divide his domain amongst his three sons. Taro (Akira Terao), the eldest, will rule. Jiro (Jinpachi Nezu), his second son, and Saburo (Daisuke Ryu) will take command of the Second and Third Castles but are expected to obey and support their elder brother. Saburo defies the pledge of obedience and is banished.";"F.W. Murnau";"Enrico Dieckmann, Albin Grau";"Unknown";"77";"210.50";"109";"Final Cut for Real";"";"";"";"Werner Herzog, Errol Morris, AndrГ© Singer, Nils Pagh Andersen";"1";"22";"18"
"570";"Rango";"2011";"A chameleon (Johnny Depp) who has lived as a sheltered family pet finds himself in the grip of an identity crisis. Rango wonders how to stand out when it is his nature to blend in. When he accidentally winds up in a frontier town called Dirt, he takes the first step on a transformational journey as the town's new sheriff. Though at first Rango only role-plays, a series of thrilling situations and outrageous encounters forces him to become a real hero.";"Alfred Hitchcock";"Alfred Hitchcock";"Joseph Stefano";"79";"315.00";"130";"Zero One Film, Allegro Filmproduktions GmbH, ORF, Bayerischer Rundfunk, Thelma Film AG";"";"";"";"John Hurt, Markus Imhoof";"6";"22";"12"
"571";"Rashomon";"1950";"Brimming with action while incisively examining the nature of truth, ""Rashomon"" is perhaps the finest film ever to investigate the philosophy of justice. Through an ingenious use of camera and flashbacks, Kurosawa reveals the complexities of human nature as four people recount different versions of the story of a man's murder and the rape of his wife.";"Leigh Whannell";"Jason Blum, Kylie du Fresne";"Leigh Whannell";"92";"226.30";"137";"";"";"";"";"Valentina RodrГ­guez, VerГіnica Rosselot, Meike Martens, Renate Sachse, Katell Djian";"6";"22";"16"
"572";"Ratatouille";"2007";"Remy (Patton Oswalt), a resident of Paris, appreciates good food and has quite a sophisticated palate. He would love to become a chef so he can create and enjoy culinary masterpieces to his heart's delight. The only problem is, Remy is a rat. When he winds up in the sewer beneath one of Paris' finest restaurants, the rodent gourmet finds himself ideally placed to realize his dream.";"James Whale";"Carl Laemmle Jr.";"William Hurlbut, John L. Balderston, Mary Shelley";"77";"620.20";"152";"Pale Griot";"";"";"";"Norwood Fisher, Angelo Moore, Chris Dowd, Walter A. Kibby, Kendall Jones, Phillip Fisher, Lev Anderson, Chris Metzler, Lev Anderson, Chris Metzler, Lev Anderson, Chris Metzler, Jeff Springer, Jeff Springer";"6";"29";"1"
"573";"RBG";"2018";"An intimate portrait of an unlikely rock star: Justice Ruth Bader Ginsburg. With unprecedented access, the filmmakers explore how her early legal battles changed the world for women.";"Jennifer Kent";"Kristina Ceyton, Kristian Moliere";"Jennifer Kent";"79";"700.20";"134";"First Thought Films";"";"";"";"Bill Cunningham, Editta Sherman, Anna Wintour, Iris Apfel, Richard Press, Philip Gefter, Ryan Denmark";"6";"11";"1"
"574";"Ready or Not";"2019";"Grace couldn't be happier after she marries the man of her dreams at his family's luxurious estate. There's just one catch -- she must now hide from midnight until dawn while her new in-laws hunt her down with guns, crossbows and other weapons. As Grace desperately tries to survive the night, she soon finds a way to turn the tables on her not-so-lovable relatives.";"James Whale";"Carl Laemmle Jr.";"Mary Shelley, Peggy Webling, John L. Balderston, Francis Edward Faragoh";"92";"858.40";"181";"Blitz/Welch";"";"";"";"Paige Kimble, Jonathan Knisely, Balu Natarajan, Julianne Ruth, Jeffrey Blitz, Jeffrey Blitz, Jeffrey Blitz, Sean Welch";"4";"12";"1"
"575";"Re-Animator";"1985";"A medical student (Jeffrey Combs) brings his headless professor back from the dead with a special serum.";"Robert Eggers";"Youree Henley, LourenГ§o Sant' Anna, Rodrigo Teixeira, Jay Van Hoy";"Robert Eggers, Max Eggers";"77";"220.10";"147";"Weissman Projects";"";"";"";"Paul Boneberg, Ed Wolf, David Weissman, Bill Weber, David Weissman";"6";"30";"1"
"576";"Rear Window";"1954";"A newspaper photographer with a broken leg passes time recuperating by observing his neighbors through his window. He sees what he believes to be a murder, and decides to solve the crime himself. With the help of his nurse and wife, he tries to catch the murderer without being killed himself.";"Ari Aster";"Kevin Scott Frakes, Lars Knudsen, Buddy Patrick";"Ari Aster";"79";"153.60";"120";"HDNet";"";"";"";"Peter Coyote, Alex Gibney, Mark Cuban, Todd Wagner, Joana Vicente, Alex Gibney, Jason Kliot, Susan Motamed, Maryse Alberti, Alison Ellwood, Alison Ellwood";"2";"22";"1"
"577";"Rebecca";"1940";"Story of a young woman who marries a fascinating widower only to find out that she must live in the shadow of his former wife, Rebecca, who died mysteriously several years earlier. The young wife must come to grips with the terrible secret of her handsome, cold husband, Max De Winter (Laurence Olivier). She must also deal with the jealous, obsessed Mrs. Danvers (Judith Anderson), the housekeeper, who will not accept her as the mistress of the house.";"Tomas Alfredson";"Carl Molinder, John Nordling";"John Ajvide Lindqvist";"92";"190.20";"117";"";"";"";"";"Alan Rosenberg, Rachel Dratch, Joseph Dorman, Joseph Dorman";"6";"22";"1"
"578";"Red Army";"2014";"Hockey captain Slava Fetisov and four other players form a nearly unbeatable unit known as the ""Russian Five,"" but their coach's brutal regimen leads Fetisov and others to defect from the Soviet Union.";"David Robert Mitchell";"Rebecca Green, Laura D. Smith, David Robert Mitchell, David Kaplan, Erik Rommesmo";"David Robert Mitchell";"77";"412.80";"141";"Expressions United Media";"";"";"";"Dan-qing Chen, Weiwei Ai, Lee Ambrozy, Ethan Cohen, Alison Klayman, Alison Klayman, Andy Cohen, Julie Goldman, Karl Katz, Cathy Price, Nicolai Frahm, Ilan Isakov, Alison Klayman";"2";"22";"1"
"579";"Red Hill";"2010";"A rookie cop (Ryan Kwanten) must contend with an escaped murderer (Tom E. Lewis) who has come to town seeking revenge.";"Tod Browning";"Tod Browning, Dwain Esper, Hildegarde Stadie, Irving Thalberg";"Al Boasberg, Willis Goldbeck, Leon Gordon, Edgar Allan Woolf";"79";"188.00";"107";"Netflix";"";"";"";"Bryan Stevenson, Van Jones, Newt Gingrich, Grover Norquist, Ava DuVernay, Spencer Averick, Ava DuVernay, Spencer Averick, Howard Barish, Ava DuVernay";"6";"22";"1"
"580";"Relic";"2020";"A woman links her mother's increasingly volatile behavior to an evil presence at their family's decaying country home.";"George A. Romero";"Karl Hardman, Russell W. Streiner";"George A. Romero, John A. Russo";"92";"210.50";"109";"";"";"";"";"Andy Goldsworthy, Thomas Riedelsheimer, Annedore von Donop, Fred Frith, Thomas Riedelsheimer, Thomas Riedelsheimer";"6";"22";"1"
"581";"Repulsion";"1965";"In Roman Polanski's first English-language film, beautiful young manicurist Carole (Catherine Deneuve) suffers from androphobia (the pathological fear of interaction with men). When her sister and roommate, Helen (Yvonne Furneaux), leaves their London flat to go on an Italian holiday with her married boyfriend (Ian Hendry), Carole withdraws into her apartment. She begins to experience frightful hallucinations, her fear gradually mutating into madness.";"James Cameron";"Gale Anne Hurd";"Unknown";"77";"315.00";"130";"";"";"";"";"David Barr, Jim Eigo, Ann Northrop, Larry Kramer, Gregg Bordowitz, Peter Staley, David France, Tyler H. Walk, David France, T. Woody Richman, Dan Cogan, Joy A. Tomchin, David France, Howard Gertler, Todd Woody Richman, Tyler H. Walk";"6";"28";"1"
"582";"Restrepo";"2010";"Photographer Tim Hetherington and journalist Sebastian Junger allow the realities of war to speak for themselves in this unnarrated documentary about a U.S. platoon in Afghanistan. The men of Second Platoon, Battle Company, 173rd Airborne Brigade teeter from naivete to weariness as months of alternating boredom and fighting take their toll. The loss of medic Juan ""Doc"" Restrepo leads the platoon to name an outpost in the remote Korengal Valley after him.";"Jonathan Demme";"Ron Bozman, Edward Saxon, Kenneth Utt";"Ted Tally";"79";"226.30";"137";"";"";"";"";"Jafar Panahi, Mojtaba Mirtahmasb, Jafar Panahi, Mojtaba Mirtahmasb, Jafar Panahi, Jafar Panahi, Jafar Panahi";"6";"22";"14"
"583";"Revanche";"2008";"In a desperate attempt to improve life for his prostitute girlfriend, Tamara (Irina Potapenko), ex-con Alex (Johannes Krisch) returns to a life of crime and robs a bank. Escaping the scene, Alex takes refuge at a nearby farm belonging to his grandfather (Hannes Thanheiser) and struggles to blend in with the locals. After befriending new neighbor Susanne (Ursula Strauss), Alex is startled to discover that her husband, Robert (Andreas Lust), is a police officer.";"John Carpenter";"Debra Hill, John Carpenter";"Debra Hill, John Carpenter";"92";"620.20";"152";"PolyGram Filmed Entertainment";"";"";"";"Muhammad Ali, Don King, B.B. King, Spike Lee, Norman Mailer, George Plimpton, Thomas Hauser, Malick Bowens, Leon Gast, David Sonenberg, Taylor Hackford, Leon Gast, Miriam Makeba, Maryse Alberti, Paul Goldsmith, Kevin Keating, Albert Maysles, Leon Gast";"3";"22";"1"
"584";"Rewind";"2019";"Digging through his father's home videos, a young man reconstructs the story of his boyhood and recalls the abuse he suffered through.";"Roman Polanski";"William Castle";"Roman Polanski";"77";"700.20";"134";"CNN Films, Storyville Films";"";"";"";"Ruth Bader Ginsburg, Gloria Steinem, Nina Totenberg, Brenda Feigen, Ted Olson, Frank Chi, Stephen Wiesenfeld, Kathleen Peratis, Betsy West, Betsy West, Amy Entelis, Courtney Sexton, Claudia Raschke, Miriam Cutler";"3";"22";"1"
"585";"Riding Giants";"2004";"Part sports history, part thrill ride, skateboarder Stacy Peralta's documentary pays homage to the brave, foolish surfers who dare ride the world's biggest waves. Peralta lays out the evolution of big-wave surfing from the '50s to today, touching upon changing trends and the constant search for ever larger waves. Then he shifts his focus to a handful of contemporary surfing superstars, among them Jeff Clark, pioneer of San Francisco's remote waves, and Laird Hamilton, known for tow-in riding.";"Georges Franju";"Jules Borkon";"Pierre Boileau, Pierre Gascar, Thomas Narcejac, Jean Redon, Claude Sautet";"79";"858.40";"181";"Tremolo Productions, MedieoperatГёrene";"";"";"";"Barbora Kysilkova, Karl-Bertil Nordland, Гystein Stene, Benjamin Ree, Ingvil Giske, Morgan Neville, Uno Helmersson";"6";"22";"1"
"586";"Rio Bravo";"1959";"When gunslinger Joe Burdette (Claude Akins) kills a man in a saloon, Sheriff John T. Chance (John Wayne) arrests him with the aid of the town drunk, Dude (Dean Martin). Before long, Burdette's brother, Nathan (John Russell), comes around, indicating that he's prepared to bust his brother out of jail if necessary. Chance decides to make a stand until reinforcements arrive, enlisting Dude, an old cripple named Stumpy (Walter Brennan) and baby-faced cowboy Colorado Ryan (Ricky Nelson) to help.";"Roman Polanski";"Gene Gutowski";"Unknown";"92";"220.10";"147";"Buena Vista International [us], Bonne Pioche TГ©lГ©vision";"Dolby SRD, DTS, SDDS";"Flat (1.37:1)";"";"Morgan Freeman, Luc Jacquet, Jordan Roberts, Yves Darondeau, Christophe Lioud, Emmanuel Priou, Ilann Girard, Laurent Chalet, Sabine Emiliani";"4";"22";"1"
