"id";"title";"year";"synopsis";"director";"producer";"writer";"release_date_id";"box_office";"runtime";"production_co";"sound_mix";"aspect_ratio";"collection";"crew";"rating_id";"genre_id";"language_id"
"1";"10 Cloverfield Lane";"2016";"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.";"Ryan Coogler";"Kevin Feige";"Ryan Coogler, Joe Robert Cole";"1";"700.20";"134";"Walt Disney Pictures";"DTS, Dolby Atmos";"Scope (2.35:1)";"Marvel Cinematic Universe";"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Angela Bassett, Forest Whitaker, Ryan Coogler, Ryan Coogler, Joe Robert Cole, Kevin Feige, Louis D'Esposito, Victoria Alonso, Nate Moore, Jeffrey Chernov, Stan Lee, Rachel Morrison";"1";"8";"1"
"2";"12 Angry Men";"1957";"Following the closing arguments in a murder trial, the 12 members of the jury must deliberate, with a guilty verdict meaning death for the accused, an inner-city teen. As the dozen men try to reach a unanimous decision while sequestered in a room, one juror (Henry Fonda) casts considerable doubt on elements of the case. Personal issues soon rise to the surface, and conflict threatens to derail the delicate process that will decide one boy's fate.";"Christopher McQuarrie";"Tom Cruise, Christopher McQuarrie, Jake Myers, J.J. Abrams";"Christopher McQuarrie";"2";"858.40";"181";"Marvel Studios, Walt Disney Pictures";"Dolby Atmos, DTS, Dolby Digital, SDDS";"Scope (2.35:1)";"Marvel Cinematic Universe";"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Brie Larson, Paul Rudd, Don Cheadle, Karen Gillan, Anthony Russo, Joe Russo, Christopher Markus, Stephen McFeely, Kevin Feige, Louis D'Esposito, Victoria Alonso, Michael Grillo, Trinh Tran, Jon Favreau";"1";"9";"1"
"3";"12 Years a Slave";"2013";"In the years before the Civil War, Solomon Northup (Chiwetel Ejiofor), a free black man from upstate New York, is kidnapped and sold into slavery in the South. Subjected to the cruelty of one malevolent owner (Michael Fassbender), he also finds unexpected kindness from another, as he struggles continually to survive and maintain some of his dignity. Then in the 12th year of the disheartening ordeal, a chance meeting with an abolitionist from Canada changes Solomon's life forever.";"George Miller";"Doug Mitchell, George Miller, P.J. Voeten";"George Miller, Brendan McCarthy, Nick Lathouris";"3";"220.10";"147";"Bad Robot, Tom Cruise";"DTS, Dolby Atmos, Dolby Digital";"Scope (2.35:1)";"";"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg, Rebecca Ferguson, Sean Harris, Angela Bassett, Michelle Monaghan, Alec Baldwin, Vanessa Kirby, Christopher McQuarrie, Christopher McQuarrie, Tom Cruise, Christopher McQuarrie, Jake Myers, J.J. Abrams, David Ellison, Dana Goldberg, Don Granger, Rob Hardy";"1";"10";"1"
"4";"13TH";"2016";"Filmmaker Ava DuVernay explores the history of racial inequality in the United States, focusing on the fact that the nation's prisons are disproportionately filled with African-Americans.";"Patty Jenkins";"Charles Roven, Deborah Snyder, Zack Snyder, Richard Suckle";"Allan Heinberg";"4";"153.60";"120";"Kennedy Miller Mitchell, Village Roadshow Pictures, Warner Bros. Pictures";"Dolby Atmos";"Scope (2.35:1)";"";"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne, Josh Helman, Nathan Jones, Rosie Huntington-Whiteley, Riley Keough, Abbey Lee, George Miller, George Miller, Nick Lathouris, Doug Mitchell, George Miller, P.J. Voeten, Iain Smith, Chris deFaria";"2";"8";"1"
"5";"15 Minutes";"2001";"At the center of ""15 Minutes"" is a New York City double murder that must be solved. But the fast-paced story isn't so much about figuring out the truth of the murder, as following who controls that truth. This is the thriller as seen through an eye-popping new lens -- that of the media's hunt for shocking imagery, no matter the cost. In ""15 Minutes,"" as the cops chase the murderers, the media chases the cops, and the whole thing fuels an escalating firestorm.";"Lee Unkrich";"Darla K. Anderson";"Adrian Molina, Matthew Aldrich";"5";"190.20";"117";"Lord Miller, Sony Pictures Animation, Pascal Pictures, Avi Arad";"Dolby Atmos, DTS, Dolby Digital, SDDS";"Scope (2.35:1)";"";"Shameik Moore, Hailee Steinfeld, Mahershala Ali, Brian Tyree Henry, Lily Tomlin, Luna Lauren Velez, John Mulaney, Kimiko Glenn, Bob Persichetti, Peter Ramsey, Rodney Rothman, Phil Lord, Rodney Rothman, Avi Arad, Amy Pascal, Phil Lord, Christopher Miller, Christina Steinberg";"3";"10";"1"
"6";"1917";"2019";"During World War I, two British soldiers -- Lance Cpl. Schofield and Lance Cpl. Blake -- receive seemingly impossible orders. In a race against time, they must cross over into enemy territory to deliver a message that could potentially save 1,600 of their fellow comrades -- including Blake's own brother.";"Taika Waititi";"Kevin Feige";"Eric Pearson, Craig Kyle, Christopher L. Yost";"6";"412.80";"141";"Atlas Entertainment, Cruel and Unusual";"SDDS, Dolby Atmos, DTS";"Scope (2.35:1)";"DC Extended Universe";"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright, Danny Huston, David Thewlis, Ewen Bremner, Lucy Davis, Patty Jenkins, Allan Heinberg, Charles Roven, Deborah Snyder, Zack Snyder, Richard Suckle, Geoff Johns, Jon Berg, Wesley Coller, Rebecca Steel Roven";"1";"8";"1"
"7";"20 Feet From Stardom";"2013";"Filmmaker Morgan Neville shines a long-overdue spotlight on the hit-making contributions of longtime backup singers like Darlene Love and Merry Clayton.";"James Mangold";"Hutch Parker, Simon Kinberg, Lauren Shuler Donner";"James Mangold, Michael Green, Scott Frank";"7";"188.00";"107";"Warner Bros. Pictures, IMAX Corporation";"Dolby Digital, Datasat, Dolby Atmos";"Scope (2.35:1)";"";"Fionn Whitehead, Tom Glynn-Carney, Jack Lowden, Harry Styles, Aneurin Barnard, James D'Arcy, Barry Keoghan, Kenneth Branagh, Cillian Murphy, Mark Rylance, Christopher Nolan, Christopher Nolan, Emma Thomas, Christopher Nolan, Jake Myers, Nathan Crowley, Kevin Ishioka";"1";"11";"1"
"8";"20,000 Days on Earth";"2014";"A therapist's questions and a visit to a voluminous archive propel a dramatization of a day in the life of musician and cultural icon Nick Cave.";"Rian Johnson";"Kathleen Kennedy, Ram Bergman";"Rian Johnson";"8";"210.50";"109";"Pixar Animation Studios";"Dolby Atmos";"Scope (2.35:1)";"Pixar";"Anthony Gonzalez, Benjamin Bratt, Alanna Ubach, Jaime Camil, Alfonso Arau, Selene Luna, Ana Ofelia MurguГ­a, Lee Unkrich, Adrian Molina, Adrian Molina, Matthew Aldrich, Darla K. Anderson, John Lasseter, Lee Unkrich, Michael Giacchino";"3";"12";"1"
"9";"2001: A Space Odyssey";"1968";"An imposing black structure provides a connection between the past and the future in this enigmatic adaptation of a short story by revered sci-fi author Arthur C. Clarke. When Dr. Dave Bowman (Keir Dullea) and other astronauts are sent on a mysterious mission, their ship's computer system, HAL, begins to display increasingly strange behavior, leading up to a tense showdown between man and machine that results in a mind-bending trek through space and time.";"Michael Curtiz, William Keighley";"Hal B. Wallis";"Norman Reilly Raine, Seton I. Miller";"9";"315.00";"130";"Marvel Studios";"Dolby Atmos";"Scope (2.35:1)";"Marvel Cinematic Universe";"Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Idris Elba, Jeff Goldblum, Tessa Thompson, Mark Ruffalo, Karl Urban, Anthony Hopkins, Benedict Cumberbatch, Taika Waititi, Eric Pearson, Craig Kyle, Christopher L. Yost, Kevin Feige, Thomas M. Hammel, Stan Lee, Victoria Alonso, Louis D'Esposito";"1";"12";"1"
"10";"28 Days Later";"2002";"A group of misguided animal rights activists free a caged chimp infected with the ""Rage"" virus from a medical research lab. When London bike courier Jim (Cillian Murphy) wakes up from a coma a month after, he finds his city all but deserted. On the run from the zombie-like victims of the Rage, Jim stumbles upon a group of survivors, including Selena (Naomie Harris) and cab driver Frank (Brendan Gleeson), and joins them on a perilous journey to what he hopes will be safety.";"Jon Watts";"Kevin Feige, Amy Pascal";"Chris McKenna, Erik Sommers";"10";"226.30";"137";"Marvel Entertainment, 20th Century Fox, Hutch Parker Entertainment, Donners' Company";"Dolby Atmos";"Scope (2.35:1)";"X-Men";"Hugh Jackman, Patrick Stewart, Dafne Keen, Richard E. Grant, Doris Morgado, Boyd Holbrook, Stephen Merchant, Eriq La Salle, Elise Neal, Elizabeth Rodriguez, James Mangold, James Mangold, Michael Green, Scott Frank, Hutch Parker, Simon Kinberg, Lauren Shuler Donner, Joseph M. Caracciolo Jr., Stan Lee, Josh McLaglen";"2";"8";"1"
"11";"3:10 to Yuma";"2007";"Outlaw Ben Wade (Russell Crowe) terrorizes 1800s Arizona, especially the Southern Railroad, until he is finally captured. Wade must be brought to trial, so Dan Evans (Christian Bale), the owner of a drought-stricken ranch, volunteers to escort him to the train. Along the trail, a grudging respect forms between the men, but danger looms at every turn, and the criminal's men are in pursuit.";"Byron Howard, Rich Moore";"Clark Spencer";"Jared Bush, Phil Johnston";"11";"620.20";"152";"Lucasfilm Ltd.";"DTS, Dolby Digital, Dolby Atmos";"Scope (2.35:1)";"Star Wars Saga";"Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley, John Boyega, Oscar Isaac, Andy Serkis, Lupita Nyong'o, Domhnall Gleeson, Anthony Daniels, Rian Johnson, Rian Johnson, Kathleen Kennedy, Ram Bergman, J.J. Abrams, Tom Karnowski, Jason McGatlin, Steve Yedlin, Bob Ducsay";"1";"10";"1"
"12";"49 Up";"2005";"Twelve people, documented every seven years since they were each 7 years old, discuss how their lives have changed since their last interview.";"Matt Reeves";"Peter Chernin, Dylan Clark, Rick Jaffa, Amanda Silver";"Matt Reeves, Mark Bomback";"12";"700.20";"134";"Lucasfilm Ltd., Bad Robot";"Dolby Digital, Dolby Atmos";"Scope (2.35:1)";"Star Wars Saga";"Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley, John Boyega, Oscar Isaac, Lupita Nyong'o, Andy Serkis, Domhnall Gleeson, J.J. Abrams, Lawrence Kasdan, J.J. Abrams, Michael Arndt, Kathleen Kennedy, J.J. Abrams, Bryan Burk, Tommy Harper, Jason McGatlin, Dan Mindel";"1";"10";"1"
"13";"5 Broken Cameras";"2011";"Beginning in 2005, Palestinian Emad Burnet records his village's resistance to the encroachment of Israeli settlements.";"Jon Watts";"Kevin Feige, Amy Pascal";"Jonathan Goldstein, John Francis Daley, Jon Watts, Christopher Ford, Chris McKenna, Erik Sommers";"13";"858.40";"181";"Warner Brothers, First National Pictures";"Mono";"Flat (1.37:1)";"";"Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains, Patric Knowles, Eugene Pallette, Alan Hale, Herbert Mundin, Una O'Connor, Melville Cooper, Michael Curtiz, William Keighley, Norman Reilly Raine, Seton I. Miller, Henry Blanke, Hal B. Wallis, Erich Wolfgang Korngold, Tony Gaudio, Carl Jules Weyl";"3";"10";"1"
"14";"56 Up";"2012";"Continuing a project he began in 1964, filmmaker Michael Apted revisits his original subjects and sees how their lives are progressing now that they are 56 years old.";"Fritz Lang";"Erich Pommer";"Fritz Lang, Thea von Harbou";"14";"220.10";"147";"RKO Radio Pictures Inc.";"";"";"";"Fay Wray, Bruce Cabot, Robert Armstrong, Frank Reicher, Sam Hardy, Noble Johnson, James Flavin, Steve Clemento, Walter Ackerman, Merian C. Cooper, Ernest B. Schoedsack, James Ashmore Creelman, Ruth Rose, David O. Selznick, Merian C. Cooper, Ernest B. Schoedsack";"6";"8";"1"
"15";"8 1/2";"1963";"Troubled Italian filmmaker Guido Anselmi (Marcello Mastroianni) struggles with creative stasis as he attempts to get a new movie off the ground. Overwhelmed by his work and personal life, the director retreats into his thoughts, which often focus on his loves, both past and present, and frequently wander into fantastical territory. As he tries to sort out his many entanglements, romantic and otherwise, Anselmi finds his production becoming more and more autobiographical.";"Steven Spielberg";"David Brown, Richard D. Zanuck";"Howard Sackler, John Milius, Robert Shaw";"15";"153.60";"120";"Columbia Pictures, Pascal Pictures, Marvel Studios";"Dolby Digital, Dolby Atmos";"Scope (2.35:1)";"Marvel Cinematic Universe";"Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei, Jon Favreau, Zendaya, Jacob Batalon, Tony Revolori, Angourie Rice, Remy Hii, Jon Watts, Chris McKenna, Erik Sommers, Kevin Feige, Amy Pascal, Louis D'Esposito, Victoria Alonso, Thomas M. Hammel, Eric Hauserman Carroll, Rachel O'Connor";"1";"10";"1"
"16";"A Band Called Death";"2012";"Filmmakers Mark Covino and Jeff Howlett tell the story of the Hackney brothers and how the discovery of their long-lost demo tape led to their band's newfound popularity.";"David F. Sandberg";"Peter Safran";"Henry Gayden";"16";"190.20";"117";"Walt Disney Pictures, Pixar Animation Studios";"DTS, Dolby Digital, Dolby Atmos";"Scope (2.35:1)";"Pixar";"Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner, Samuel L. Jackson, Bob Odenkirk, Catherine Keener, Brad Bird, Bill Wise, Isabella Rossellini, Brad Bird, Brad Bird, Nicole Paradis Grindle, John Lasseter, Stephen Schaffer, Michael Giacchino";"3";"12";"1"
"17";"A Bug's Life";"1998";"Flik (Dave Foley) is an inventive ant who's always messing things up for his colony. His latest mishap was destroying the food stores that were supposed to be used to pay off grasshopper Hopper (Kevin Spacey). Now the strong-arming insect is demanding that the ants gather double the food -- or face annihilation. To avert disaster, Flik goes on a journey to recruit fighters to defend the colony. When he meets a band of high-flying circus insects, he thinks he's found his salvation.";"Christopher Nolan";"Emma Thomas, Charles Roven, Christopher Nolan";"Jonathan Nolan, Christopher Nolan";"17";"412.80";"141";"Walt Disney Animation Studios";"Dolby Atmos";"";"";"Ginnifer Goodwin, Jason Bateman, Shakira, Idris Elba, J.K. Simmons, Nate Torrence, Jenny Slate, Tommy Chong, Octavia Spencer, Bonnie Hunt, Byron Howard, Rich Moore, Jared Bush, Jared Bush, Phil Johnston, Clark Spencer, John Lasseter, Fabienne Rawley, Jeremy Milton, Michael Giacchino";"3";"13";"1"
"18";"A Christmas Story";"1983";"Based on the humorous writings of author Jean Shepherd, this beloved holiday movie follows the wintry exploits of youngster Ralphie Parker (Peter Billingsley), who spends most of his time dodging a bully (Zack Ward) and dreaming of his ideal Christmas gift, a ""Red Ryder air rifle."" Frequently at odds with his cranky dad (Darren McGavin) but comforted by his doting mother (Melinda Dillon), Ralphie struggles to make it to Christmas Day with his glasses and his hopes intact.";"Denis Villeneuve";"Andrew A. Kosove, Broderick Johnson, Bud Yorkin, Cynthia Sikes Yorkin";"Hampton Fancher, Michael Green";"12";"188.00";"107";"20th Century Fox, Bluegrass Films, Chernin Entertainment";"Dolby Atmos";"Scope (2.35:1)";"Planet of the Apes";"Andy Serkis, Woody Harrelson, Steve Zahn, Karin Konoval, Terry Notary, Amiah Miller, Judy Greer, Max Lloyd-Jones, Devyn Dalton, Toby Kebbell, Matt Reeves, Matt Reeves, Mark Bomback, Peter Chernin, Dylan Clark, Rick Jaffa, Amanda Silver, Mark Bomback, Mary McLaglen, Michael Seresin";"1";"9";"1"
"19";"A Fantastic Woman";"2017";"A transgender singer faces scorn and discrimination after the sudden death of her older boyfriend.";"Alfred Hitchcock";"Michael Balcon, Ivor Montagu";"John Buchan, Charles Bennett, Ian Hay";"6";"210.50";"109";"Columbia Pictures, Marvel Studios";"DTS, SDDS, Dolby Atmos";"Scope (2.35:1)";"Marvel Cinematic Universe";"Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei, Jon Favreau, Gwyneth Paltrow, Zendaya, Donald Glover, Jacob Batalon, Laura Harrier, Jon Watts, Jonathan Goldstein, John Francis Daley, Jon Watts, Christopher Ford, Chris McKenna, Erik Sommers, Kevin Feige, Amy Pascal, Louis D'Esposito";"1";"8";"1"
"20";"A Film Unfinished";"2009";"Israeli director Yael Hersonski examines a recently found film reel from an unfinished Nazi movie entitled ""Das Ghetto"" in this award-winning documentary. For decades, historians have relied on ""Das Ghetto"" as a portrayal of life in occupied Warsaw and this new footage provides rare insights into one of the biggest propaganda machines of all time. Hersonski uses personal journals and accounts as well as an interview with a surviving cameraman to re-examine this dark cinematic relic.";"Anthony Russo, Joe Russo";"Kevin Feige";"Christopher Markus, Stephen McFeely";"6";"315.00";"130";"Working Title Films, Big Talk Pictures";"Dolby Atmos, Dolby Digital";"Scope (2.35:1)";"";"Ansel Elgort, Kevin Spacey, Lily James, Jon Bernthal, Jon Hamm, Jamie Foxx, Eiza GonzГЎlez, Flea, Sky Ferreira, Lanny Joon, Edgar Wright, Edgar Wright, Nira Park, Tim Bevan, Eric Fellner, Edgar Wright, Rachael Prior, James Biddle, Adam Merims, Liza Chasin";"2";"14";"1"
"21";"A Fistful of Dollars";"1964";"The Man With No Name (Clint Eastwood) enters the Mexican village of San Miguel in the midst of a power struggle among the three Rojo brothers (Antonio Prieto, Benny Reeves, Sieghardt Rupp) and sheriff John Baxter (Wolfgang Lukschy). When a regiment of Mexican soldiers bearing gold intended to pay for new weapons is waylaid by the Rojo brothers, the stranger inserts himself into the middle of the long-simmering battle, selling false information to both sides for his own benefit.";"David Yates";"David Heyman, David Barron, J.K. Rowling";"Steve Kloves";"4";"226.30";"137";"Toho Company";"Mono";"Flat (1.37:1)";"";"ToshirГґ Mifune, Takashi Shimura, Yoshio Inaba, Seiji Miyaguchi, Minoru Chiaki, Isao Kimura, Kamatari Fujiwara, Yoshio Tsuchiya, Akira Kurosawa, Shinobu Hashimoto, Akira Kurosawa, Hideo Oguni, Sojiro Motoki, Fumio Hayasaka, Asakazu Nakai, Akira Kurosawa";"6";"10";"2"
"22";"A Girl Walks Home Alone at Night";"2014";"Residents of a worn-down Iranian city encounter a skateboarding vampire (Sheila Vand) who preys on men who disrespect women.";"Christopher McQuarrie";"Tom Cruise, J.J. Abrams, Bryan Burk, David Ellison, Dana Goldberg, Don Granger";"Christopher McQuarrie";"18";"620.20";"152";"Paramount";"Dolby SR, Dolby Digital, Dolby A, Dolby Stereo";"Flat (1.85:1)";"";"Brigitte Helm, Alfred Abel, Rudolf Klein-Rogge, Fritz Rasp, Theodor Loos, Erwin Biswanger, Heinrich George, Olaf Storm, Fritz Lang, Fritz Lang, Thea von Harbou, Thea von Harbou, Erich Pommer, Tawd Beckman, Gottfried Huppertz, Karl Freund, Otto Hunte";"6";"11";"32"
"23";"A Hard Day's Night";"1964";"The Beatles in their feature film debut, one of the greatest rock-and-roll comedy adventures ever. The film has a fully restored negative and digitally restored soundtrack. The film takes on the just-left-of-reality style of mock-documentary, following ""a day in the life"" of John, Paul, George, and Ringo as fame takes them by storm.";"Kathryn Bigelow";"Kathryn Bigelow, Mark Boal, Nicolas Chartier";"Mark Boal";"19";"700.20";"134";"Universal Pictures, Zanuck/Brown Productions";"Mono, CDS";"";"";"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey C. Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman, Steven Spielberg, Peter Benchley, Peter Benchley, Carl Gottlieb, Howard Sackler, John Milius, Robert Shaw, Richard D. Zanuck";"3";"14";"1"
"24";"A League of Their Own";"1992";"As America's stock of athletic young men is depleted during World War II, a professional all-female baseball league springs up in the Midwest, funded by publicity-hungry candy maker Walter Harvey (Garry Marshall). Competitive sisters Dottie Hinson (Geena Davis) and Kit Keller (Lori Petty) spar with each other, scout Ernie Capadino (Jon Lovitz) and grumpy has-been coach Jimmy Dugan (Tom Hanks) on their way to fame. Madonna and Rosie O'Donnell co-star as two of the sisters' teammates.";"John Musker, Ron Clements";"Osnat Shurer";"Jared Bush";"20";"858.40";"181";"Pixar Animation Studios";"";"";"Pixar";"Ed Asner, Christopher Plummer, Bob Peterson, Delroy Lindo, John Ratzenberger, Pete Docter, Bob Peterson, Bob Peterson, Pete Docter, Jonas Rivera, John Lasseter, Andrew Stanton, Michael Giacchino, Patrick Lin";"3";"8";"1"
"25";"A Million Ways to Die in the West";"2014";"Mild-mannered sheep farmer Albert Stark (Seth MacFarlane) feels certain that the Western frontier is trying to kill him, then he loses his girlfriend, Louise (Amanda Seyfried), to the town's most successful businessman. However, a beautiful, pistol-packing woman named Anna (Charlize Theron) rides into town and helps Albert find his inner courage. Then Stark must put his newfound bravery to the test when Anna's outlaw husband arrives with plans to plant him in an unmarked grave.";"Anthony Russo, Joe Russo";"Kevin Feige";"Christopher Markus, Stephen McFeely";"21";"220.10";"147";"Mad Ghost Productions, DC Entertainment, Seven Bucks Productions, Safran Company";"Dolby Atmos";"Scope (2.35:1)";"DC Extended Universe";"Zachary Levi, Mark Strong, Asher Angel, Jack Dylan Grazer, Djimon Hounsou, Grace Fulton, Ian Chen, Jovan Armand, Faithe Herman, Cooper Andrews, David F. Sandberg, Henry Gayden, Peter Safran, Jeffrey Chernov, Christopher Godsick, Walter Hamada, Geoff Johns, Adam Schlagman, Richard Brener, Dave Neustadter";"1";"12";"1"
"26";"A Monster Calls";"2016";"Conor (Lewis MacDougall) is dealing with far more than other boys his age. His beloved and devoted mother (Felicity Jones) is ill. He has little in common with his imperious grandmother. His father has resettled thousands of miles away. But Conor finds a most unlikely ally when the Monster (Liam Neeson) appears at his bedroom window one night. Ancient, wild, and relentless, the Monster guides Conor on a journey of courage, faith, and truth that powerfully fuses imagination and reality.";"Peyton Reed";"Kevin Feige, Stephen Broussard";"Chris McKenna, Erik Sommers, Paul Rudd, Andrew Barrer, Gabriel Ferrari";"22";"153.60";"120";"Syncopy";"DTS, Dolby Digital, SDDS";"Scope (2.35:1)";"Batman";"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal, Gary Oldman, Morgan Freeman, Ron Dean, Cillian Murphy, Christopher Nolan, Jonathan Nolan, Christopher Nolan, Emma Thomas, Charles Roven, Christopher Nolan, Kevin De La Noy, Benjamin Melniker, Michael E. Uslan, Thomas Tull";"1";"15";"1"
"27";"A Night at the Opera";"1935";"The Marx Brothers run amuck in the world of opera when Otis B. Driftwood (Groucho Marx) meets aspiring singer Ricardo (Allan Jones), who is determined to win the love of fellow performer Rosa (Kitty Carlisle). Aided by Fiorello (Chico Marx) and Tomasso (Harpo Marx), Otis attempts to unite the young couple, but faces opposition from the preening star Lassparri (Walter Woolf King), who also has his sights on Rosa. Traveling from Italy to New York, Otis and friends rally to try and win the day.";"George Lucas";"Gary Kurtz";"George Lucas";"23";"190.20";"117";"Warner Brothers";"";"";"";"Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett, Barton MacLane, Alfonso Bedoya, John Huston, Jack L. Warner, Henry Blanke, Buddy Kaye, Ted D. McCord, Owen Marks, Richard Maybery, B. Traven";"6";"16";"1"
"28";"A Nightmare on Elm Street";"1984";"In Wes Craven's classic slasher film, several Midwestern teenagers fall prey to Freddy Krueger (Robert Englund), a disfigured midnight mangler who preys on the teenagers in their dreams -- which, in turn, kills them in reality. After investigating the phenomenon, Nancy (Heather Langenkamp) begins to suspect that a dark secret kept by her and her friends' parents may be the key to unraveling the mystery, but can Nancy and her boyfriend Glen (Johnny Depp) solve the puzzle before it's too late?";"James Gunn";"Kevin Feige";"James Gunn, Nicole Perlman";"24";"412.80";"141";"Torridon Films, Alcon Entertainment, Bud Yorkin Productions, Scott Free Productions, 16:14 Entertainment";"Dolby Atmos";"Scope (2.35:1)";"Blade Runner";"Ryan Gosling, Harrison Ford, Ana de Armas, Sylvia Hoeks, Robin Wright, Jared Leto, Mackenzie Davis, Carla Juri, Lennie James, Dave Bautista, Denis Villeneuve, Hampton Fancher, Michael Green, Andrew A. Kosove, Broderick Johnson, Bud Yorkin, Cynthia Sikes Yorkin, Ridley Scott, Bill Carraro, Tim Gamble";"2";"14";"1"
"29";"A Prophet";"2009";"This acclaimed crime drama follows Malik El Djebena (Tahar Rahim), a delinquent young Muslim man, who is struggling to get by in a French prison. When he is taken under the wing of powerful Corsican mob boss Cesar Luciani (Niels Arestrup), he begins performing regular assignments for him, proving himself invaluable to the imposing criminal. As Malik rises in the mob ranks, he gains more power, but also more enemies, a situation that eventually brings conflict with his mentor.";"Travis Knight";"Arianne Sutner, Travis Knight";"Marc Haimes, Chris Butler";"25";"188.00";"107";"Gaumont British Picture Corporation Ltd.";"Mono";"";"";"Robert Donat, Madeleine Carroll, Godfrey Tearle, Lucie Mannheim, Peggy Ashcroft, Wylie Watson, John Laurie, Helen Haye, Alfred Hitchcock, Charles Bennett, Michael Balcon, Ivor Montagu, Jack Beaver, Bernard Knowles, D. N. Twist";"6";"14";"1"
"30";"A Quiet Place";"2018";"If they hear you, they hunt you. A family must live in silence to avoid mysterious creatures that hunt by sound. Knowing that even the slightest whisper or footstep can bring death, Evelyn and Lee are determined to find a way to protect their children while desperately searching for a way to fight back.";"Andrew Stanton";"Jim Morris";"Andrew Stanton, Jim Reardon";"26";"210.50";"109";"Marvel Studios";"Dolby Atmos, Dolby Digital";"";"Marvel Cinematic Universe";"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan, Anthony Mackie, Don Cheadle, Jeremy Renner, Chadwick Boseman, Paul Bettany, Elizabeth Olsen, Anthony Russo, Joe Russo, Christopher Markus, Stephen McFeely, Kevin Feige, Louis D'Esposito, Victoria Alonso, Patricia Whitcher, Nate Moore, Stan Lee";"1";"8";"1"
"31";"A Secret Love";"2020";"A former baseball player keeps her lesbian relationship a secret from her family for seven decades.";"James Cameron";"Gale Anne Hurd";"Unknown";"27";"315.00";"130";"Fairview Entertainment";"Dolby Atmos";"Flat (1.85:1)";"";"Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba, Lupita Nyong'o, Scarlett Johansson, Giancarlo Esposito, Christopher Walken, Garry Shandling, Jon Favreau, Justin Marks, Jon Favreau, Brigham Taylor, Peter Tobyansen, Molly Allen, Karen Gilchrist, Bill Pope, Mark Livolsi, John Debney";"3";"13";"1"
"32";"A Separation";"2011";"When Nader (Payman Maadi), a bank employee, refuses to leave Tehran, his wife, Simin (Leila Hatami) sues for divorce in the hope that she can make a better life for their young daughter abroad. Needing someone to care for his senile father while he's at work, Nader hires Razieh (Sareh Bayat), a married woman whose chador hides her pregnancy. One day, after becoming angry with Razieh, Nader shoves her, and she has a miscarriage, leading Razieh's husband to take Nader to court.";"John Huston";"S.P. Spiegel";"Unknown";"28";"226.30";"137";"Warner Bros., Moving Picture Company, Heyday Films";"SDDS, Dolby Digital";"";"Harry Potter";"Daniel Radcliffe, Rupert Grint, Emma Watson, Ralph Fiennes, Alan Rickman, Robbie Coltrane, Helena Bonham Carter, Jim Broadbent, Gary Oldman, Maggie Smith, Steve Kloves, David Heyman, David Barron, J.K. Rowling, Lionel Wigram, Eduardo Serra, Alexandre Desplat";"1";"15";"1"
"33";"A Shaun the Sheep Movie: Farmageddon";"2019";"The continuing adventures of Shaun the sheep and friends.";"Howard Hawks";"Howard Hawks";"B.H. McCampbell, Jules Furthman, Leigh Brackett";"29";"620.20";"152";"Eon Productions Ltd.";"SDDS, Dolby Digital, Datasat";"";"James Bond 007";"Daniel Craig, Judi Dench, Javier Bardem, Ralph Fiennes, Naomie Harris, Ben Whishaw, Albert Finney, Rory Kinnear, Ola Rapace, Sam Mendes, Neal Purvis, Robert Wade, John Logan, Michael G. Wilson, Barbara Broccoli, Callum McDougall, Roger Deakins, Dennis Gassner, Stuart Baird";"1";"14";"1"
