"id";"name"
11;"Arabic"
19;"Bambara"
15;"Bangla"
5;"Chinese"
17;"Dutch"
1;"English"
6;"French"
12;"German"
7;"Hebrew"
18;"Indonesian"
4;"Italian"
2;"Japanese"
10;"Korean"
32;"other"
14;"Persian"
9;"Portuguese"
20;"Romanian"
3;"Russian"
16;"Spanish"
13;"Swedish"
21;"Turkish"
8;"Unknown language"
